item_name,costco_cost
Pure Fiber 100% Viscose from Bamboo Sheet Set,109.99
"Pakistani Hand Knotted Rug Collection, Classic Bukhara Chuval Black",1066.99
Bamboo Plant Collection,32.99
Saran Mirror,428.99
Traeger Silverton XL Pellet Grill,1539.99
TRINITY Bamboo Laundry Station,109.99
"Berkshire Area Rug Collection, Leeza Taupe",516.99
Fitz and Floyd Woodgrove Serving Board,65.99
GLOBAL 5-Piece Masuta Bamboo Knife Block Set,197.99
Schmidt Brothers Cutlery Delta Series Acacia Wood 4-pack Steak Knife Set,51.69
Pure Fiber 100% Viscose from Bamboo Duvet and Sham Set,109.99
Kirkland Signature Sloped Cuddler Orthopedic Pet Bed,47.29
"Eurow Nouvelle Legende Placemats, 12-count",15.39
"Boxwood Collection, 3-pack",104.49
Wila Round Seagrass Wall Mirror,208.99
120-stem Ranunculus,214.49
"Obeetee Layla Braided Area Rug, Tan, 5' x 7'6""",219.99
Bostitch Premium Desktop Stapler Value Pack,16.49
"Winco Cutting Board, 12"" x 18"" x 1/2"" - White",8.24
Arlington Collection 8.3’ Slate Tech Pool Table by Barrington Billiards,1979.99
"Northern Wild Chef's Blend Cultivated Mushrooms, King Oyster, Maitake, French Horn, 3 lbs or 5 lbs",142.99
"Turkish Kitchen Towels, 6-piece Set",43.99
"Kirkland Signature Protein Bars, Chocolate Chip Cookie Dough, 40-Count (4 Pack of 10)",65.99
Greenball Grim Reaper ATV Tire,146.29
"Wyatt & Ash Washable Indoor Area Rug, Oakley 7'10"" x 10'",164.99
Yardline Northport Wood Storage Shed - Do It Yourself Assembly,2639.99
NFL Chrome Hover Helmet,76.99
"Kirkland Signature 2200 High Performance Furnace Filters, 4-pack",43.99
"Arlo Essential Pan Tilt Indoor Camera 2K, 3-pack",87.99
Hurley Youth Performance Pant,10.97
Oakley Thinlink Matte Black Iridium Polarized Sunglasses,130.89
"Sports Research Omega-3 Krill Oil Superba2 1000mg, 90ct Softgels",32.99
"Wyatt & Ash Washable Indoor Area Rug, Oakley 6'6"" x 9'6""",131.99
"Night Owl 10 Channel, 10 AC Plug-in 4K Camera Wi-Fi 2TB NVR Security Camera System",604.99
Greenball XC-Master Front 6-Ply ATV Tire,67.09
Simms Fabric Power Reclining Sectional with Power Headrests,2969.99
NFL Hover Helmet,76.99
NFL 12' x 12' Pagoda Canopy,263.99
"Kirkland Signature Aller-Flo 50 mcg Allergy Spray, 720 Metered Sprays",21.99
"Nutramax Cosequin Joint Health Supplement, 150 count, 2-pack",87.99
"Nutramax Cosequin Joint Health Supplement Plus MSM and HA, 180ct Tablets, 2-pack",82.49
